,i
1074,387.06958398553024
1075,96.38923137384417
1076,153.90796347846424
1077,326.74609195254294
1078,456.95945600693176
1079,281.33168129747867
1080,160.31531762986265
1081,166.10816263411198
1082,193.13538988489785
1083,313.09678100058716
1084,167.89038754086332
1085,146.09294897392553
1086,187.07183489927513
1087,182.05502932693983
1088,160.6620985430671
1089,188.2427969236014
1090,184.04100451280522
1091,304.2670308680002
1092,219.8553496762671
1093,186.0345905189537
1094,358.04169749090636
1095,419.13729519186097
1096,301.60668425416804
1097,179.3120014916346
1098,132.27070468078526
1099,214.54615472726206
1100,111.20906283894497
1101,125.68192107040527
1102,139.55307939360202
1103,111.06439182910971
1104,195.02010680135604
1105,82.15063885220556
1106,463.1647699095974
1107,159.4776892656674
1108,770.1998643405082
1109,134.68276552258448
1110,289.96716976793584
1111,154.07433408303623
1112,98.37205599871008
1113,136.48748072750948
1114,109.64436364254927
1115,803.2456307249674
1116,304.40871056724825
1117,488.7869610729469
1118,416.3954398060445
1119,1852.5221565581592
1120,458.56618013127826
1121,763.5206440326486
1122,149.08382445193644
1123,118.96361909778209
1124,178.78326200960666
1125,485.4905371276134
1126,254.13622385156705
1127,304.668182031384
1128,305.68626328501915
1129,954.4328421558549
1130,99.41843735225471
1131,178.20817636991006
1132,188.06992425949383
1133,642.3830618770155
1134,96.21768344396396
1135,648.1175651841713
1136,126.7991958560444
1137,381.57596161999754
1138,129.4787596996733
1139,128.74524094986464
1140,278.0207385419208
1141,174.46773868897623
1142,376.06912826523944
1143,207.24386002674845
1144,96.13134849380398
1145,120.08528422760773
1146,291.09000692663915
1147,210.2667405636717
1148,570.8172435414771
1149,132.02694703482626
1150,236.29854243456595
1151,123.57967983314761
1152,194.17538125764383
1153,48.12380613144227
1154,159.88612394505355
1155,206.26174346101766
1156,168.14688490695954
1157,175.54315288256055
1158,123.60855704144672
1159,223.39080381109045
1160,210.34063004820015
1161,1828.460637923969
1162,44.41287570130835
1163,304.7259913457286
1164,770.7602247956561
1165,1415.1003721071718
1166,172.47534962700908
1167,603.1031332986404
1168,151.16354414181694
1169,167.50151965188653
1170,162.29035409000647
1171,174.9360748384845
1172,164.84421611667148
1173,185.22032541009705
1174,13.69681088883129
1175,290.71337300365326
1176,321.8863263580811
1177,24.609310166483965
1178,228.72953592548333
1179,77.06207733595609
1180,9288.43832434279
1181,373.76787629684475
1182,80.93064279234811
1183,404.5245928931961
1184,288.92326562914263
1185,365.65099172519416
1186,219.87620693167827
1187,139.61487276081658
1188,201.98570355635775
1189,225.5529376632641
1190,506.8600297355906
1191,575.4780068378569
1192,136.5155369420958
1193,160.18047302206156
1194,221.4068658539491
1195,369.2594234031727
1196,194.10000962884706
1197,117.34958297478329
1198,315.66321992369694
1199,271.30216583132324
1200,236.39652951956614
1201,311.5019269850573
1202,153.8709265331016
1203,184.2451268095605
1204,241.3272688917958
1205,118.94899088504619
1206,118.05840378700816
1207,283.56251359436095
1208,184.49808617784333
1209,167.47474454624836
1210,150.19526213798719
1211,103.14863476109043
1212,425.51840427607317
1213,109.79162096779922
1214,778.052047977332
1215,178.18501112587214
1216,271.2383082146384
1217,535.1137236816749
1218,414.54158007533596
1219,244.17248887337837
1220,261.1063092364598
1221,1656.7451980938501
1222,245.86839797867916
1223,165.70333585902162
1224,395.66679360289226
1225,155.87661227715668
1226,154.17586782415108
